Proposal: Proposal Name,Contract Number,Status,Account Name,Account Owner,Centre
MUM/BC/02254/1,1873,Activated,Prinseps Auctions (P) Ltd,Sneha Khemani,CoWrks Worli
MUM/BC/02707/1,2198,Activated,Leverage Edu,Sneha Khemani,CoWrks Worli
MUM/BC/02169/1,1805,Activated,Jain Investment Planner Pvt. Ltd.,Sneha Khemani,CoWrks Worli
MUM/BC/02493/1,2226,Activated,Optiva India Technologies Private Limited,Maaz Shaikh,CoWrks Worli
MUM/BC/02285/1,1890,Activated,Constellation Retail Pvt Ltd,Maaz Shaikh,CoWrks Worli
MUM/BC/01925/2,1848,Activated,The Swaddle,Sneha Khemani,CoWrks Worli
MUM/BC/02306/1,1900,Activated,Dojo Marketing Communications LLP,Maaz Shaikh,CoWrks Worli
MUM/BC/02384/1,1944,Activated,Anand Rathi,Sneha Khemani,CoWrks Worli
MUM/BC/02494/1,2055,Activated,Prinseps Auctions (P) Ltd,Sneha Khemani,CoWrks Worli
MUM/BC/02190/1,1845,Activated,Nokia,Sneha Khemani,CoWrks Worli
MUM/BC/02230/1,2186,Activated,Vikram Bhatt Consultants,Sneha Khemani,CoWrks Worli
MUM/BC/02448/1,2011,Activated,Prinseps Auctions (P) Ltd,Sneha Khemani,CoWrks Worli
MUM/BC/02061/3,1849,Activated,Razorpay Software  Private Limited,Arjun Sharma,CoWrks Worli
MUM/BC/02433/1,2012,Formal Notice Given,AMP Fashion Pvt. Ltd.,Sneha Khemani,CoWrks Worli
MUM/BC/02473/1,2049,Activated,Keki Bapuna,Sneha Khemani,CoWrks Worli
MUM/BC/02826/1,2453,Activated,Prinseps Auctions (P) Ltd,Sneha Khemani,CoWrks Worli
MUM/BC/02985/1,2467,Activated,Sanctum Wealth Management Private Limited,Sneha Khemani,CoWrks Worli
MUM/BC/02928/1,2379,Activated,Veneklasen Associates,Sneha Khemani,CoWrks Worli
MUM/BC/02548/4,2264,Activated,Ciena Communications India Pvt Ltd,Maaz Shaikh,CoWrks Worli
MUM/BC/02966/1,2398,Activated,Aria CFO Services LLP,Maaz Shaikh,CoWrks Worli
MUM/BC/02901/1,2455,Activated,The First Estate,Sneha Khemani,CoWrks Worli
MUM/BC/02906/1,2380,Activated,Indeed Communications Pvt Ltd.,Sneha Khemani,CoWrks Worli
MUM/BC/02569/1,2362,Activated,Saibal Das,Sneha Khemani,CoWrks Worli
MUM/BC/02869/1,2390,Activated,Karza Technologies,Sneha Khemani,CoWrks Worli
