Inventory: Name,Floor,Status,No of Units,Exterior,Exterior Patio,Interior,Centre: Name,Unit Type
NCR/PT/PS/01/036,01,,12,Yes,,No,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/037,01,,12,Yes,,No,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/038,01,,12,Yes,,No,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/039,01,,11,Yes,,No,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/040,01,,21,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/041,02,,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/053,02,,3,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/054,02,,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/055,02,,4,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/056,02,,4,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/057,02,,9,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/058,02,,4,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/059,02,,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/060,02,,21,Yes,,No,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/061,02,,11,Yes,,No,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/062,02,,12,Yes,,No,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/063,02,,12,Yes,,No,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/064,02,,12,Yes,,No,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/065,02,,10,Yes,,No,CoWrks Golf Course Road,Private Studio
BLR/IN/DD/5B/0010,5B,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/5B/0011,5B,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/5B/0012,5B,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/5B/0013,5B,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/5B/0014,5B,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/5B/0015,5B,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/5B/0016,5B,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/5B/0017,5B,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/5B/0018,5B,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/5B/0019,5B,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
NCR/PT/DD/01/003,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/002,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/001,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/004,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/005,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/006,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/007,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/008,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/009,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/010,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/011,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/012,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/013,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/014,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/015,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/016,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/017,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/018,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/019,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/020,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/021,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/022,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/023,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/024,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/025,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/026,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/027,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/028,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/029,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/030,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/031,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/032,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/033,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/01/034,01,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/035,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/036,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/037,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/038,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/039,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/040,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/041,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/042,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/043,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/044,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
